[00:00:00.723 --> 00:00:02.325]  What's his name?
[00:00:02.325 --> 00:00:03.206]  Get ready to go live.
[00:00:03.206 --> 00:00:05.988]  Get through on every channel we can.
[00:00:05.988 --> 00:00:11.634]  We've got to reach the people.
[00:00:24.923 --> 00:00:27.964]  The war, it's happening now.
[00:00:27.964 --> 00:00:30.205]  It will decide the fate of humanity.
[00:00:30.205 --> 00:00:32.927]  The time to choose sides has come.
[00:00:32.927 --> 00:00:34.807]  We are the resistance.
[00:00:34.807 --> 00:00:36.988]  We are the Infowar.
[00:00:36.988 --> 00:00:46.432]  I actually heard the aliens are already here.
[00:00:46.432 --> 00:00:48.613]  They've been hiding in this country for hundreds of years.
[00:00:48.613 --> 00:00:49.814]  It's a fact.
[00:00:49.814 --> 00:00:51.315]  They're shapeshifters.
[00:00:51.315 --> 00:00:53.435]  They look like regular people, but they're aliens.
[00:00:53.435 --> 00:00:54.376]  Look, there's one right there.
[00:00:57.729 --> 00:00:58.109]  What?
[00:00:58.109 --> 00:01:00.830]  I am not an alien!
[00:01:00.830 --> 00:01:01.511]  Yes, she is.
[00:01:01.511 --> 00:01:04.392]  And so is the woman next to her, right there.
[00:01:04.392 --> 00:01:05.612]  Oh, okay.
[00:01:05.612 --> 00:01:08.934]  No.
[00:01:08.934 --> 00:01:11.775]  Sir, where are you getting this information?
[00:01:11.775 --> 00:01:13.796]  From a very reputable source.
[00:01:13.796 --> 00:01:14.136]  What?
[00:01:14.136 --> 00:01:14.936]  The FBI?
[00:01:14.936 --> 00:01:15.737]  The CIA?
[00:01:15.737 --> 00:01:16.817]  InfoWars.
[00:01:16.817 --> 00:01:19.638]  It's a radio show hosted by Alex Jones.
[00:01:19.638 --> 00:01:21.159]  You know he's legit.
[00:01:21.159 --> 00:01:23.160]  Because he's always taking off his shirt, okay?
[00:01:26.528 --> 00:01:31.611]  I had an epiphany today, this morning, when I watched this.
[00:01:31.611 --> 00:01:39.697]  You know, it's funny, nobody called me last night, or even texted me or emailed me about it, because almost no one, compared to the internet viewers, watches SNL.
[00:01:39.697 --> 00:01:43.699]  And those people that do watch it on TV are so elderly, they don't use the internet or text messaging.
[00:01:43.699 --> 00:01:44.580]  That's a fact.
[00:01:44.580 --> 00:01:46.101]  Just to show how dinosaur it is.
[00:01:46.101 --> 00:01:53.085]  But this morning, I got about 50 phone calls, text messages, and emails.
[00:01:53.085 --> 00:01:54.106]  It was probably more than 50.
[00:01:54.106 --> 00:01:55.747]  6.30 in the morning.
