# Transcription model: large-v3
[00:00:00.000 --> 00:00:08.679]  It's Tuesday, April 8th, 2025, and Judge Boasberg has been overridden by the Supreme Court.
[00:00:08.960 --> 00:00:24.980]  But notice that Amy Comey Barrett, appointed by Trump, voted against the Constitution in America and for an MS-13 gangbanger deported to El Salvador.
[00:00:25.739 --> 00:00:27.160]  I warned Trump.
[00:00:28.620 --> 00:00:34.920]  Robert Barnes warned Trump, so many others warned Trump at the time, that she was a total operative of the deep state.
[00:00:35.060 --> 00:00:50.600]  So is Chief Justice John Roberts, that he's been recently exposed literally working with top Democrat operatives like Norm Eisen to set up all the lawfare we've seen over the last nine years.
[00:00:51.119 --> 00:00:54.000]  So it's very, very important that they continue to be exposed.
[00:00:55.759 --> 00:01:02.679]  And we have to understand that every action of these district court federal judges is completely unconstitutional.
[00:01:03.179 --> 00:01:10.079]  And that it violates every facet of the laws and precedent in this country.
[00:01:10.159 --> 00:01:11.340]  But they're desperate.
[00:01:11.400 --> 00:01:14.219]  And you're going to see more of this.
[00:01:14.299 --> 00:01:16.519]  But Roberts chose the battles here.
[00:01:16.560 --> 00:01:19.159]  It was too obvious to side with MS-13.
[00:01:20.019 --> 00:01:32.957]  but he will continue to work behind the scenes and publicly like he did in 2020, letting the lower courts know it later came out, don't even hear these election fraud cases.
[00:01:32.979 --> 00:01:34.969]  Music. Bye.
[00:01:34.979 --> 00:01:37.979]  Bye. Bye.
[00:01:38.250 --> 00:01:44.109]  Ultimate Fish Oil is now available at Infowarsstore.com after being sold out for more than six months.
[00:01:44.250 --> 00:01:49.709]  And we give it the name Ultimate like so many of other products because it is the highest grade, the very best you're going to find anywhere.
[00:01:49.950 --> 00:01:53.549]  Now, most people know how great fish oil is, but not all fish oil.
[00:01:54.170 --> 00:01:55.069]  is made equal.
[00:01:55.150 --> 00:02:01.409]  A lot of it has been homogenized or basically boiled and cooked off and it loses almost all of its good effect.
[00:02:01.609 --> 00:02:07.010]  This is the highest grade fish oil from three different amazing sources.
[00:02:07.189 --> 00:02:07.950]  Listen to this.
[00:02:08.560 --> 00:02:12.000]  Arctic krill oil is known as the best essential fatty acid.
[00:02:12.139 --> 00:02:19.400]  Then another well-known top one, wild anchovy oil and high-quality wild-caught salmon, also one of the top forms of it.
[00:02:19.479 --> 00:02:20.860]  It is back in stock.
[00:02:20.979 --> 00:02:22.719]  It is not just good for your cardiovascular system.
[00:02:22.840 --> 00:02:23.659]  It's good for everything.
[00:02:23.879 --> 00:02:28.740]  Take a few hours before you sleep, and a lot of folks have amazing dreams on it.
[00:02:29.060 --> 00:02:31.360]  You always eat a good piece of fish that's fresh.
[00:02:31.439 --> 00:02:32.199]  You also have great dreams.
[00:02:32.639 --> 00:02:33.860]  You want to experience this.
[00:02:33.939 --> 00:02:35.280]  It's so good for your brain, your heart, everything.
