whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | 

main: processing './wav/20111106_Sun_Alex.wav' (113143223 samples, 7071.5 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:03.480]   [MUSIC PLAYING]
[00:00:03.480 --> 00:00:06.960]   [MUSIC PLAYING]
[00:00:06.960 --> 00:00:10.440]   [MUSIC PLAYING]
[00:00:10.440 --> 00:00:13.920]   [MUSIC PLAYING]
[00:00:39.920 --> 00:00:43.400]   [MUSIC PLAYING]
[00:00:43.400 --> 00:00:46.880]   [MUSIC PLAYING]
[00:00:46.880 --> 00:00:50.360]   [MUSIC PLAYING]
[00:00:52.360 --> 00:00:55.840]   [MUSIC PLAYING]
[00:00:55.840 --> 00:00:59.320]   [MUSIC PLAYING]
[00:00:59.320 --> 00:01:02.800]   [MUSIC PLAYING]
[00:01:02.800 --> 00:01:06.280]   [MUSIC PLAYING]
[00:01:06.280 --> 00:01:09.760]   [MUSIC PLAYING]
[00:01:09.760 --> 00:01:13.240]   [MUSIC PLAYING]
[00:01:13.240 --> 00:01:16.720]   [MUSIC PLAYING]
[00:01:16.720 --> 00:01:20.720]   [MUSIC PLAYING]
[00:01:20.720 --> 00:01:24.200]   [MUSIC PLAYING]
[00:01:24.200 --> 00:01:27.680]   [MUSIC PLAYING]
[00:01:27.680 --> 00:01:31.160]   [MUSIC PLAYING]
[00:01:31.160 --> 00:01:34.640]   [MUSIC PLAYING]
[00:01:34.640 --> 00:01:38.120]   [MUSIC PLAYING]
[00:01:38.120 --> 00:01:41.600]   [MUSIC PLAYING]
[00:01:41.600 --> 00:01:45.080]   [MUSIC PLAYING]
[00:01:45.080 --> 00:01:48.560]   [MUSIC PLAYING]
[00:01:48.560 --> 00:01:52.040]   [MUSIC PLAYING]
[00:01:52.040 --> 00:01:55.520]   [MUSIC PLAYING]
[00:01:55.520 --> 00:01:59.000]   [MUSIC PLAYING]
[00:01:59.000 --> 00:02:02.480]   [MUSIC PLAYING]
[00:02:02.480 --> 00:02:05.960]   [MUSIC PLAYING]
[00:02:05.960 --> 00:02:09.440]   [MUSIC PLAYING]
[00:02:09.440 --> 00:02:12.920]   [MUSIC PLAYING]
