[00:00:14.774 --> 00:00:21.777]  InfoWars, the most banned network in the world.
[00:00:21.777 --> 00:00:34.282]  From Canada to Australia, from New Zealand to the United States, from the UK to the EU, world leaders are now announcing permanent lockdowns for the, quote, unvaccinated.
[00:00:34.282 --> 00:00:41.565]  Even as mainline governments admit the vaccine is not a vaccine that's causing incredible health problems, including heart attacks, strokes, and death.
[00:00:42.691 --> 00:00:47.895]  This, ladies and gentlemen, is the globalist New World Order assault.
[00:00:47.895 --> 00:00:55.001]  So here is the New Zealand Prime Minister bragging about making unvaccinated people second-class citizens.
[00:00:55.001 --> 00:01:01.466]  Here is the CDC director saying unvaccinated government workers to be sent to education camps.
[00:01:01.466 --> 00:01:03.807]  Yes, you just heard me, for education and counseling.
[00:01:04.808 --> 00:01:10.636]  And of course, here's Hillary demanding that the UK roll out the passport to set the precedent worldwide.
[00:01:10.636 --> 00:01:19.308]  This is their holy grail, a worldwide UNID vaccine passport, carbon tax, and here they are back-to-back admitting it.
[00:01:20.922 --> 00:01:24.765]  We have seen that these mandates are getting more and more people vaccinated.
[00:01:24.765 --> 00:01:25.945]  Here's what we know.
[00:01:25.945 --> 00:01:32.370]  The most disruptive thing that you can do to a workforce is to have a COVID outbreak in that workforce.
[00:01:32.370 --> 00:01:37.793]  That will most definitely not only send people home, but it will send people to the hospital and some may pass.
[00:01:37.793 --> 00:01:47.960]  What we know from the police workforce is that there have been more deaths from the coronavirus over the last year and a half than all other causes of death for that workforce combined.
[00:01:48.340 --> 00:01:52.481]  So we believe it is very important to get these people vaccinated.
[00:01:52.481 --> 00:02:04.406]  There is a plan, should these people not want to be vaccinated, towards education and counseling to get people the information they need so that they are feeling comfortable in getting vaccinated.
[00:02:04.406 --> 00:02:10.608]  So you basically said this is going to be like, well it's almost like, you probably don't see it like this, the two different classes of people.
[00:02:10.608 --> 00:02:13.409]  If you're vaccinated or if you're unvaccinated you have all these rights.
[00:02:13.409 --> 00:02:16.830]  If you are vaccinated... That is what it is, so yep, yep.
[00:02:17.470 --> 00:02:24.474]  You described that you were previously hoping not to have to do that, I guess, when we still looked like we could maintain elimination across the whole country.
[00:02:24.474 --> 00:02:34.060]  I guess that has now changed because... I think it was less because, necessarily, of the elimination determining that, and more because we, of course, maintained it.
[00:02:34.060 --> 00:02:40.343]  And actually we have managed very high vaccination rates, generally, without the use of certificates.
[00:02:40.343 --> 00:02:45.026]  But actually what it's become clear to me is that they're not just a tool to drive up vaccines.
[00:02:45.953 --> 00:02:47.061]  They're a tool for confidence.
[00:02:48.240 --> 00:02:52.522]  People who have been vaccinated will want to know that they're around other vaccinated people.
[00:02:52.522 --> 00:02:55.303]  They'll want to know that they're in a safe environment.
[00:02:55.303 --> 00:03:01.985]  It is a way that we can give confidence to those who are going back into hospitality or events.
[00:03:01.985 --> 00:03:07.207]  And so that is something that I think we should offer to people who have been vaccinated.
[00:03:07.207 --> 00:03:14.150]  That confidence that we're doing everything we can to keep them safe and that they can come back out and start enjoying those things safely.
[00:03:14.150 --> 00:03:16.231]  I do think it's imperative that
[00:03:17.151 --> 00:03:17.551]  I don't know.
[00:03:34.818 --> 00:03:36.779]  Yeah, and employers.
[00:03:36.779 --> 00:03:46.763]  I mean, part of what we've done in New York, for example, is all of the big health systems, hospitals and the like, they've mandated vaccines.
[00:03:46.763 --> 00:03:52.345]  And so, for example, one very large one, 77,000 employees, a thousand refused to get vaccinated.
[00:03:52.345 --> 00:03:52.926]  They were fired.
[00:03:53.846 --> 00:03:58.650]  And I think you've got to make it clear that we're not going to go back to lockdown.
[00:03:58.650 --> 00:04:00.691]  That is not going to happen.
[00:04:00.691 --> 00:04:16.603]  But if you don't get vaccinated and if you don't have proof of vaccination when you go into a club or a restaurant and employers don't enforce vaccines, we may see some problems here in the UK as the weather gets colder and people are forced back inside again.
