[00:00:00.071 --> 00:00:00.318]  Okay.
[00:00:27.256 --> 00:00:31.982]  InfoWars, the most banned network in the world.
[00:00:31.982 --> 00:00:41.094]  There are several different definitions of symbiotic relationships, but they're all basically the same.
[00:00:41.094 --> 00:00:42.355]  Two or more species
[00:00:44.420 --> 00:00:45.020]  We're good to go.
[00:01:10.959 --> 00:01:17.583]  To sabotage the family, to sabotage culture, to get people into debt, to make people ill, to make them sick.
[00:01:17.583 --> 00:01:20.545]  I mean, it's all out in the open now.
[00:01:20.545 --> 00:01:34.533]  Only a few countries, like Russia, are actively opposing that and saying, hey, too many vaccines are dangerous, and hey, GMO really is sterilizing people, and hey, don't try to break up families, don't try to sexualize children when they're in the elementary school.
[00:01:34.533 --> 00:01:35.414]  That's evil.
[00:01:36.860 --> 00:01:47.664]  And Russia has come out and pointed out that Hollywood and the EU and others are actually trying to poison society and destabilize it.
[00:01:47.664 --> 00:01:50.765]  Now, we don't need the Russians to tell us that, to know it's true.
[00:01:50.765 --> 00:01:52.706]  We can see it every day.
[00:01:52.706 --> 00:02:03.010]  But we're always hearing that, oh, the Russians are behind Trump, and the Russians are behind the fight against the EU, and the Russians are behind the nationalists in Brazil.
[00:02:04.560 --> 00:02:10.145]  Well, no, not the Russians themselves, but the spirit of not wanting to be slaves.
[00:02:10.145 --> 00:02:11.947]  The spirit of wanting to have strong families.
[00:02:11.947 --> 00:02:14.068]  The spirit of wanting to have a good future.
[00:02:14.068 --> 00:02:17.512]  The spirit of wanting to build a civilization that's good and awesome.
[00:02:17.512 --> 00:02:24.538]  Yes, that spirit, that same spirit behind the Russians and their rebirth, compared to where they were, is driving us.
[00:02:25.583 --> 00:02:32.087]  The Russians hit rock bottom after 70 plus years of leftist torture and enslavement.
[00:02:32.087 --> 00:02:35.929]  And so they've seen the face of the technocracy.
[00:02:35.929 --> 00:02:38.691]  We here haven't hit bottom yet.
[00:02:38.691 --> 00:02:39.991]  And there's different ways to learn.
[00:02:39.991 --> 00:02:40.732]  You know, you can learn
[00:02:41.912 --> 00:02:43.673]  From experience.
[00:02:43.673 --> 00:02:49.917]  You can learn by being warned, being educated.
[00:02:49.917 --> 00:02:52.318]  And you can also, of course, learn by revelation.
[00:02:52.318 --> 00:02:54.220]  Revelation would be the best way, wouldn't it?
[00:02:54.220 --> 00:02:58.762]  From your own instincts, your own spirit, your own understanding and just follow what you know is right.
[00:02:58.762 --> 00:03:00.583]  That voice is never wrong.
[00:03:00.583 --> 00:03:05.246]  But we can live by experience and by education.
[00:03:05.246 --> 00:03:11.030]  By experiencing globalism and the new world order and all the poison and all the curses and all the bad things that come with it.
[00:03:11.937 --> 00:03:20.006]  And we can read and learn from people like Alexander Solzhenitsyn what they went through and say, let's not do this again.
[00:03:20.006 --> 00:03:30.278]  But to be able to do that, we're going to need to get aggressive and not see fighting tyranny as work, but see it as breathing air into our lungs when we climb a hill.
[00:03:31.513 --> 00:03:35.577]  And the more we do it, the stronger we get, and it becomes a compulsion to fight tyranny.
[00:03:35.577 --> 00:03:38.019]  It becomes an enjoyment to fight tyranny.
[00:03:38.019 --> 00:03:42.422]  Better than food, better than sex, is fighting for our very survival.
[00:03:42.422 --> 00:03:53.832]  Because if we don't fight for our territory, and fight for our human will, and fight for justice, and fight for our children, then all the food, and the sex, and all the things God's given us to enjoy our lives, with our husbands and wives, won't mean anything.
[00:03:53.832 --> 00:03:55.213]  But you notice they're trying to take our food?
[00:03:55.794 --> 00:03:57.698]  And they're trying to take our sex away.
[00:03:57.698 --> 00:03:59.501]  Our normal, natural men and women.
[00:03:59.501 --> 00:04:02.387]  Because all of that is holy.
[00:04:02.387 --> 00:04:03.409]  What does holy mean?
[00:04:03.409 --> 00:04:04.230]  It just means sacred?
[00:04:05.600 --> 00:04:12.585]  It just means what's good, what was meant from the beginning, what works, what connects us to all those that came before us.
[00:04:12.585 --> 00:04:15.688]  It's not human culture, men and women and families.
[00:04:15.688 --> 00:04:16.789]  It's survival.
[00:04:16.789 --> 00:04:23.293]  It's who we are, forged in the fires and the frozen waste and the wars.
[00:04:23.293 --> 00:04:26.016]  And all we've been through, all of us are the
[00:04:27.285 --> 00:04:34.190]  Inheritors of that majesty and this incredible experience together, and we're not going to let our species down, and I know you aren't.
[00:04:34.190 --> 00:04:50.020]  So spread the word about this broadcast however you can, and buy those products that are great for you and your family, that are symbiotic, and together, ladies and gentlemen, we're going to march to the future, we're going to fight this dehumanizing force, this tester, and we're going to win with God's grace.
[00:04:50.020 --> 00:04:56.304]  Because God is good, and evil will fall and fail, but it must be given its one hour to test us.
[00:04:56.624 --> 00:05:00.585]  And the test is now.
[00:05:00.585 --> 00:05:04.026]  A question was once posed to Thomas Jefferson.
