[00:00:05.856 --> 00:00:06.296]  Sign up.
[00:00:06.656 --> 00:00:07.657]  The address is simple.
[00:00:08.057 --> 00:00:09.937]  AmericanFreePress.net.
[00:00:10.457 --> 00:00:11.718]  It's just like it sounds.
[00:00:12.158 --> 00:00:15.119]  AmericanFreePress, all one word, dot net.
[00:00:15.599 --> 00:00:18.620]  Once again, that's AmericanFreePress.net.
[00:00:18.940 --> 00:00:23.382]  American Free Press, the voice of the Second American Revolution.
[00:00:24.202 --> 00:00:26.763]  About 70 local employers.
[00:00:26.783 --> 00:00:31.504]  You're listening to GCN, the world leader in independent talk radio.
[00:00:31.604 --> 00:00:32.324]  Radio 590 KLB.
[00:00:37.040 --> 00:00:39.641]  IRN USA Radio News, I'm Jason Walker.
[00:00:39.661 --> 00:00:49.302]  A new poll finds Americans support fundamental changes in a health care system and the creation of a government-run insurance plan to compete with private insurers.
[00:00:49.582 --> 00:00:56.324]  Respondents believe Uncle Sam could do a better job of holding down health care costs than a private sector driven by profit incentives.
[00:00:56.824 --> 00:01:01.905]  In the meantime, health care the focus Saturday in the Republicans' weekly radio address.
[00:01:01.965 --> 00:01:03.485]  Americans want health care reform.
[00:01:04.125 --> 00:01:10.309]  But they want the right health care reform, and that means taking the time and the care necessary to get it right.
[00:01:11.009 --> 00:01:14.131]  Against Republican advice, they rush the stimulus.
[00:01:14.912 --> 00:01:19.735]  We shouldn't rush again on something as important and costly as health care.
[00:01:20.195 --> 00:01:22.357]  Kentucky GOP Senator Mitch McConnell.
[00:01:22.737 --> 00:01:26.859]  Apple's CEO Steve Jobs reportedly receiving a liver transplant.
[00:01:26.939 --> 00:01:29.461]  Two months ago, he is reportedly doing very well.
[00:01:29.921 --> 00:01:32.203]  This is IRN USA Radio News.
[00:01:33.953 --> 00:01:36.815]  You've heard about the amazing health benefits of Beta Prostate.
[00:01:36.995 --> 00:01:39.938]  Now you can have a 30-day supply sent to your home for free.
[00:01:40.218 --> 00:01:47.464]  For a limited time only, New Vitality has set aside 500 bottles of the popular supplement Beta Prostate just for new customers.
[00:01:47.764 --> 00:01:52.508]  An unhealthy prostate can affect the quality of your life, your bathroom trips, your sleeping habits,
[00:01:52.848 --> 00:01:54.310]  Even your emotional well-being.
